user_id,visit_date,source_channel,device,gender,age_group,test_group,step,course_category,conversion
1,2025-07-18,Email,Tablet,Female,25-34,A,landing,Design,0
2,2025-07-19,Social Media,Mobile,Female,45+,A,landing,Business,0
2,2025-07-19,Social Media,Mobile,Female,45+,A,course_detail,Business,0
2,2025-07-19,Social Media,Mobile,Female,45+,A,add_to_cart,Business,0
2,2025-07-19,Social Media,Mobile,Female,45+,A,checkout,Business,0
2,2025-07-19,Social Media,Mobile,Female,45+,A,enrolled,Business,0
3,2025-07-03,Social Media,Mobile,Male,25-34,B,landing,Marketing,0
3,2025-07-03,Social Media,Mobile,Male,25-34,B,course_detail,Marketing,0
4,2025-07-20,Email,Tablet,Male,25-34,A,landing,Data Science,0
4,2025-07-20,Email,Tablet,Male,25-34,A,course_detail,Data Science,0
4,2025-07-20,Email,Tablet,Male,25-34,A,add_to_cart,Data Science,0
4,2025-07-20,Email,Tablet,Male,25-34,A,checkout,Data Science,0
5,2025-07-03,Referral,Desktop,Female,45+,A,landing,Design,0
5,2025-07-03,Referral,Desktop,Female,45+,A,course_detail,Design,0
5,2025-07-03,Referral,Desktop,Female,45+,A,add_to_cart,Design,0
5,2025-07-03,Referral,Desktop,Female,45+,A,checkout,Design,0
5,2025-07-03,Referral,Desktop,Female,45+,A,enrolled,Design,1
6,2025-07-14,Referral,Mobile,Female,25-34,B,landing,Data Science,0
6,2025-07-14,Referral,Mobile,Female,25-34,B,course_detail,Data Science,0
6,2025-07-14,Referral,Mobile,Female,25-34,B,add_to_cart,Data Science,0
6,2025-07-14,Referral,Mobile,Female,25-34,B,checkout,Data Science,0
6,2025-07-14,Referral,Mobile,Female,25-34,B,enrolled,Data Science,0
7,2025-07-18,Social Media,Tablet,Female,35-44,A,landing,Business,0
7,2025-07-18,Social Media,Tablet,Female,35-44,A,course_detail,Business,0
7,2025-07-18,Social Media,Tablet,Female,35-44,A,add_to_cart,Business,0
7,2025-07-18,Social Media,Tablet,Female,35-44,A,checkout,Business,0
7,2025-07-18,Social Media,Tablet,Female,35-44,A,enrolled,Business,0
8,2025-07-17,Direct,Desktop,Male,35-44,A,landing,Development,0
9,2025-07-14,Email,Mobile,Male,25-34,A,landing,Data Science,0
